the_geom,Name,Descriptio
POINT (-76.60947777777777 39.32478055555556),535 - Greenmount  - 30th,
POINT (-76.610525 39.29905277777777),2508-JFX North,
POINT (-76.61066666666666 39.30105833333333),2507-JFX south,
POINT (-76.61072777777777 39.30126388888888),2506-Fallsway and Eager,
POINT (-76.60982777777777 39.302175),2505-Warden St Lot,
POINT (-76.60820555555554 39.30102777777778),2504-Eager St(widows Peak),
POINT (-76.61058888888888 39.29773888888889),2503-Monument and Fallsway,
POINT (-76.6089361111111 39.2988),2502-Madison and Constitution,
POINT (-76.66911388888889 39.30514166666666),930 - Rosedale - Brighton,
POINT (-76.660925 39.30039166666666),932 - Riggs - Braddish,
POINT (-76.66348333333335 39.30029722222222),931 - Riggs - Dukeland,
POINT (-76.63350147971053 39.30434818409336),1113-Division St - Islamic Way,1113
POINT (-76.6366138888889 39.286625),1029-Lombard & Carrolton,1029
POINT (-76.63157400307077 39.30275305569003),1118-Division St - Mosher St,1118
POINT (-76.61468888888888 39.28421111111111),1920 - Charles and Conway,
POINT (-76.61765555555554 39.28406111111111),1921 - Sharp and Conway,
POINT (-76.61844722222222 39.27830555555556),1922 - 182 Hamburg st,
POINT (-76.63454009804764 39.30059140289045),1116-Mosher St - Argyle St,1116
POINT (-76.63350147971053 39.30434818409336),1113-Division St - Islamic Way,1113
POINT (-76.63450850277033 39.30512204068196),1111-Division - Laurens,1111
POINT (-76.63644287497533 39.30669205827265),1107-Division - Presstman,1107
POINT (-76.64127059169711 39.30762937394409),1102-Carey St - Baker St,1102
POINT (-76.582694 39.304777),625 - Milton & E Biddle St,625
POINT (-76.63521220705451 39.30340229710768),1966 Avenue Market Parking Lot,
POINT (-76.621074 39.290996),01 - Eutaw-Lexington Market,1
POINT (-76.62100940934023 39.29039532424097),02 - Eutaw-Fayette,2
POINT (-76.620985 39.289324),03 - Eutaw-Baltimore,3
POINT (-76.620948 39.288678),04 - Eutaw-Redwood,4
POINT (-76.620854 39.287528),05 - Eutaw-Lombard,5
POINT (-76.620675 39.285245),06 - Eutaw-Camden,6
POINT (-76.622129 39.286257),07 - Paca-Pratt,7
POINT (-76.623616 39.287415),08 - Greene-Lombard,8
POINT (-76.623695 39.289222),09 - Greene-Baltimore,9
POINT (-76.623777 39.290333),10 - Greene-Fayette,10
POINT (-76.623837 39.291377),11 - Greene-Lexington,11
POINT (-76.622411 39.29037),12 - Paca-Fayette,12
POINT (-76.6193449773696 39.28756912674072),13 - Howard-Lombard,13
POINT (-76.619369 39.286315),14 - Howard-Pratt,14
POINT (-76.619283 39.285302),15 - Howard-Camden,15
POINT (-76.616191 39.286452),16 -S Hanover- W Pratt,16
POINT (-76.617692 39.287668),17 - Hopkins Pl - W Lombard St,17
POINT (-76.61779 39.289384),18 - Park Ave-W Baltimore St,18
POINT (-76.61948 39.289386),19 -S Howard St - W Baltimore St,19
POINT (-76.61949 39.290447),20 - N Howard St-W Fayette St,20
POINT (-76.619664 39.291602),21 -N Howard St - W Lexington St,21
POINT (-76.61802 39.291581),22 - Park Ave-W Lexington St,22
POINT (-76.617084 39.29167),23-N Liberty St - W Lexington St,23
POINT (-76.617674 39.290451),24 - N Liberty St-W Fayette St,24
POINT (-76.617985 39.290501),25 - Park Ave - W Fayette St,25
POINT (-76.6168431896496 39.29234439807268),26 - N Liberty St-Clay St,26
POINT (-76.616777 39.293019),27 - Cathedral St - W Saratoga St,27
POINT (-76.616793 39.294053),28 - Cathedral St-W Mulberry St,28
POINT (-76.615489 39.294151),29 - N Charles St - E Mulberry St,29
POINT (-76.616872 39.295048),30 - Cathedral St-W Franklin St,30
POINT (-76.618324 39.295011),31 - Park Ave - W Franklin St,31
POINT (-76.618224 39.294017),32 - Park Ave-W Mulberry St,32
POINT (-76.618158 39.292954),33 -Park Ave - W Saratoga St,33
POINT (-76.619659 39.292896),34 - N Howard St - W Saratoga St,34
POINT (-76.619773 39.293987),35 - N Howard St - W Mulberry St,35
POINT (-76.61979737353023 39.29495596870342),36 - N Howard St-W Franklin St,36
POINT (-76.619917 39.296209),37 - N Howard St - W Centre St,37
POINT (-76.621317 39.29579),38 - N Eutaw St-George St,38
POINT (-76.62233 39.289278),39 - S Paca St - W Baltimore St,39
POINT (-76.621145 39.29283),40 - N Eutaw St-W Saratoga,40
POINT (-76.622539 39.292822),41 - N Paca St - W Saratoga St,41
POINT (-76.622571 39.293837),42 - N Paca St-W Mulberry St,42
POINT (-76.622441 39.291428),43 - N Paca St - W Lexington St,43
POINT (-76.623951 39.294792),44 - N Greene St-W Franklin St,44
POINT (-76.623895 39.29284),45 - N Greene St - W Saratoga St,45
POINT (-76.62126 39.29489),46 - N Eutaw St-W Franklin St,46
POINT (-76.62127017974854 39.29669586515518),47 - N Eutaw St - Druid Hill Ave,47
POINT (-76.621199 39.293915),48 - N Eutaw St-W Mulberry St,48
POINT (-76.622656 39.295792),49 - N Paca St - George St,49
POINT (-76.6169571877 39.2962994055),50 - Cathedral St-W Centre St,50
POINT (-76.61647439002991 39.29132167379627),51-Center Plaza,51
POINT (-76.61627054214478 39.28878908065192),52- Hopkins Plaza,52
POINT (-76.615144 39.289526),53 - Charles-Baltimore,53
POINT (-76.614863 39.287744),54 - S Charles St-E Lombard St,54
POINT (-76.613976 39.29117),55 - Saint Paul St - E Lexington St,55
POINT (-76.6137170792 39.2888202196),56 - Light St-E Redwood St,56
POINT (-76.612448 39.290387),57 - N Calvert St - E Fayette St,57
POINT (-76.612025 39.288933),58 - S Calvert St-E Redwood St,58
POINT (-76.612135 39.287825),59 - S Calvert St - E Lombard St,59
POINT (-76.611114 39.291245),60 - Guilford Ave-E Lexington St,60
POINT (-76.611048 39.289701),61 - South St - E Baltimore St,61
POINT (-76.610961 39.288566),62 - South St-Water St,62
POINT (-76.610355 39.292495),63 - N Holliday St - E Saratoga St,63
POINT (-76.610276 39.290498),64 - N Holiday St-E Fayette St,64
POINT (-76.610116 39.287849),65 - Commerce St - E Lombard St,65
POINT (-76.610022 39.286662),66 - Commerce St - E Pratt St,66
POINT (-76.6097554564476 39.28921049389631),67 - Custom House Ave,67
POINT (-76.608945 39.289772),68 - S Gay St - E Baltimore St,68
POINT (-76.608832 39.288624),69 - S Gay St - Water St,69
POINT (-76.6078296304 39.291377722),70 - E Saratoga St - E Lexington Stb,70
POINT (-76.606944 39.287904),71 - Market Pl - E Lombard St,71
POINT (-76.624648 39.291325),72 - Pearl St - W Lexington St,72
POINT (-76.62393 39.293779),73 - N Greene St - W Mulberry St,73
POINT (-76.6228714585 39.2975053831),74 - Druid Hill Ave - Saint Mary St,74
POINT (-76.6250628232956 39.2958219903579),75 - Pennsylvania Ave -Saint Mary St,75
POINT (-76.621448 39.297269),76 - N Eutaw St &amp; W Monument St,76
POINT (-76.615414 39.292327),77 - Saratoga-Charles,77
POINT (-76.594117 39.293968),201-E Fayette St - N Broadway,201
POINT (-76.594029 39.292632),202-E Fairmount Ave - N Broadway,202
POINT (-76.593944 39.291542),203-E Baltimore St - S Broadway,203
POINT (-76.591777 39.291616),204-E Baltimore St - S Ann St,204
POINT (-76.589201 39.291747),205-E Baltimore St - S Washington St,205
POINT (-76.593869 39.290399),206-E Lombard St - S Broadway,206
POINT (-76.59171 39.290499),207-E Lombard St - S Ann St,207
POINT (-76.591047 39.29052),208-E Lombard St - S Durham St,208
POINT (-76.589749 39.290555),209-E Lombard St - S Chapel St,209
POINT (-76.589106 39.290573),210-E Lombard St - S Washington St,210
POINT (-76.593803 39.289257),211-E Pratt St - S Broadway,211
POINT (-76.59571141004562 39.28913991254447),212-E Pratt St - N Bond St,212
POINT (-76.593704 39.287623),213-Gough St - S Broadway,213
POINT (-76.592432 39.287696),214-Gough St - S Regester St,214
POINT (-76.593638 39.286609),215-Bank St - S Broadway,215
POINT (-76.59544 39.286512),216-Bank St - S Bond St,216
POINT (-76.593557 39.285578),218-Eastern Ave - S Broadway,218
POINT (-76.591406 39.285686),219-Eastern Ave - S Ann St,219
POINT (-76.59356564283371 39.28460387354584),220-Fleet St - S Broadway,220
POINT (-76.59326 39.284564),221-Fleet St - S Broadway St (East),221
POINT (-76.591353 39.284726),222-Fleet St - S Ann St,222
POINT (-76.596724 39.284425),223-Fleet St - S Caroline St,223
POINT (-76.598245 39.284346),224-Fleet St - S Eden St,224
POINT (-76.5931847691536 39.2835346957123),225-S Broadway - Aliceanna St(East),225
POINT (-76.593125 39.281841),227-Thames St - S Broadway,227
POINT (-76.6314049065113 39.25054306120661),307-Behind Bldg 1200,307
POINT (-76.63222458257191 39.25093656179605),302-Back of 1312 Shellbanks,302
POINT (-76.631866 39.250484),305-Shellbanks Rd - Blyden Rd,305
POINT (-76.63301 39.250116),303-Berea Rd - Slater Rd,303
POINT (-76.63199614762503 39.24901086313518),308-Fisk Rd - Slater Rd,308
POINT (-76.63219881862668 39.24875486950877),309-Behind 1201 Slater Rd,309
POINT (-76.63295086054555 39.24962970161173),306-Back of 1301 Slater Rd.,306
POINT (-76.630346 39.249721),310-Giles Rd - Shellbanks Rd,310
POINT (-76.62997849643642 39.24942904911602),311-Rear of 2701 Giles-Shellbanks,311
POINT (-76.629266 39.248579),313-Spelman Rd - Woodview Rd,313
POINT (-76.628517 39.248612),314-Woodview Rd - Round Rd,314
POINT (-76.630831 39.248398),312-Sethlow Rd - Slater Rd,312
POINT (-76.62975668907166 39.24815335508407),315-Rear of Comm Ctr.,315
POINT (-76.63008024481715 39.24715462301298),316- Behind Community Center 1039,316
POINT (-76.628802 39.247049),317-Spelman Rd - Claflin Ct,317
POINT (-76.62841466045771 39.24586355224435),319-Spelman Rd - S Denham Cir,319
POINT (-76.62769833066102 39.2464110941083),318- 2822 Round Rd.,318
POINT (-76.628547 39.244608),322-2824 N Denham Cir,322
POINT (-76.62879377603531 39.24451515416843),321-Rear of 2822 Denham,321
POINT (-76.62797972559929 39.24487036222853),323- Off 2820 Spellman,323
POINT (-76.62751572343545 39.24516063447664),324-Bridgeview Rd - Spelman Rd,324
POINT (-76.62585 39.244914),327-3301 Round Rd.,327
POINT (-76.62650721263086 39.24429465760859),326-Side of 2901 Denham Cir.,326
POINT (-76.626069 39.243618),333-Bethune Rd - Spelman Rd,333
POINT (-76.63329475490167 39.25065259288995),301-Behind 2708 Berea Rd.,301
POINT (-76.632756 39.250272),304-Behind 2711 Berea Rd.,304
POINT (-76.63086041808128 39.24823955624256),352-Maint. Backyard 1,352
POINT (-76.6306646168232 39.2480089938705),353-Maint Backyard 2,353
POINT (-76.6310441493988 39.24795914244714),355-Maint. Garage Doors,355
POINT (-76.6296923160553 39.24849608195489),354-Back of Comm. Ctr.,354
POINT (-76.6305211186409 39.24811181231925),356-Back of Comm. Ctr. 2,356
POINT (-76.624986 39.245028),328-Behind 911 Coppin Court,328
POINT (-76.62781829894932 39.24393730532749),325-Rear of 2917 S Denham Cir.,325
POINT (-76.625678 39.242839),335-3430 Spelman Rd,335
POINT (-76.625283 39.242625),336-3456 Spelman Rd,336
POINT (-76.625503 39.242225),337-3446 Spelman Rd(Parking Lot),337
POINT (-76.62395507097244 39.2425053904732),338-Spellman Rd. LLC#7076,338
POINT (-76.62401981794665 39.24204446311966),339-3486 Spelman Rd.,339
POINT (-76.6245967182681 39.24395149812875),332-3401 Round Rd.,332
POINT (-76.6238016694216 39.24413016229553),331-Rear of 3411 Round Rd.,331
POINT (-76.622775 39.2433),341-Seagull Ave. LLC#7076,341
POINT (-76.62229478359222 39.24291461834412),340-Seagull Ave. behind UMBC,340
POINT (-76.620876 39.245257),344-Seagull Ave - Bethune Rd,344
POINT (-76.621161 39.244783),343-835 Seagull Ave.,343
POINT (-76.6207954287529 39.24450165207217),342-Behind 835 Seagull Ave,342
POINT (-76.623826 39.245061),330-Bethune Rd - Bunche Rd,330
POINT (-76.624343 39.245411),329-Coppin Ct - Bunche Rd .,329
POINT (-76.626256 39.247836),348-2627 Carver Rd,348
POINT (-76.6254 39.246813),346-Carver Rd - Bridgeview Rd,346
POINT (-76.625636 39.247806),347-Rear of 2805 Carver Rd.,347
POINT (-76.625822 39.248642),349-2609 Carver Rd.,349
POINT (-76.625322 39.24845),350-2615 Carver Rd. (in circle),350
POINT (-76.62912223843638 39.24541761151036),320-Side of 2810 Denham Cr.,320
POINT (-76.62468329071999 39.24636595538039),345-Carver Rd. Front of School,345
POINT (-76.626792 39.242728),334-Back Circle 1019 Bethune Rd.,334
POINT (-76.55581 39.28705),402-Eastern Ave - Oldham St,402
POINT (-76.558053 39.287142),403-Eastern Ave - S Lehigh St,403
POINT (-76.556592 39.287034),404-Eastern Ave - S Newkirk St,404
POINT (-76.60946388888888 39.31814722222222),509-Greenmount Ave - E 25th St,501
POINT (-76.61216944444443 39.31806111111111),508-Falls St Alley - E 25th St,502
POINT (-76.60876944444443 39.31658888888889),510-Boone St - E 24th St,503
POINT (-76.61042777777777 39.31625833333333),512-Brentwood Ave - E 24th St,504
POINT (-76.61315555555555 39.32208055555556),501-Guilford Ave - E 28th St,505
POINT (-76.60744444444444 39.31603611111111),511-Cokesbury Ave - E 23rd St,506
POINT (-76.60952499999999 39.31549166666667),513-Greenmount Ave - E 23rd St,507
POINT (-76.60820277777778 39.31543888888889),515-23rd ST. - Boone,508
POINT (-76.61271666666666 39.315425),514-Guilford Ave - E 23rd St,509
POINT (-76.60955555555554 39.31450833333333),516-Greenmount Ave - E 22nd St,510
POINT (-76.60732222222222 39.31462777777777),517-Homewood Ave - E 22nd St,511
POINT (-76.6112111111111 39.31400833333333),518-Barclay St - 21st1/2 St,512
POINT (-76.60845277777777 39.31353888888889),520-Boone St - E 21st St,513
POINT (-76.60953611111111 39.31273611111111),521-Greenmount Ave - Worsley St,514
POINT (-76.61105277777777 39.31243333333333),522-Barclay St - E 20th St,515
POINT (-76.60953333333333 39.32001111111111),506-Greenmount Ave - E Lorraine Ave,516
POINT (-76.61103055555554 39.31201666666667),523-Barclay St - Heaver St,517
POINT (-76.61180833333333 39.31130555555556),525-E North Ave - Guilford Ave,518
POINT (-76.60950833333332 39.32215),502-Greenmount Ave - E 28th St,519
POINT (-76.61363055555555 39.31057777777777),526- N Calvert St - McAllister St,520
POINT (-76.61089166666666 39.31003333333333),528-Barclay St - E Lafayette Ave,521
POINT (-76.61238055555555 39.31009166666667),527-Guilford Ave - E Lafayette Ave,522
POINT (-76.61295277777778 39.31951944444445),507-Guilford Ave - E 26th St,523
POINT (-76.61075 39.30846388888889),529-Barclay St - Pitman Pl,524
POINT (-76.6082 39.30483888888889),530-Greenmount Ave - E Preston St,525
POINT (-76.60793055555555 39.30378333333333),531-Greenmount Ave - E Biddle St,526
POINT (-76.60953333333333 39.32092222222222),503-Greenmount-27th,527
POINT (-76.61114722222221 39.32088055555556),504-Barclay St - E 27th St,528
POINT (-76.61260555555555 39.31339722222222),519-Guilford Ave - E 21st St,529
POINT (-76.60764166666667 39.30273333333333),532-Greenmount Ave - E Chase St,530
POINT (-76.60726944444444 39.30136111111111),533-Greenmount Ave - E Eager St,531
POINT (-76.60961944444443 39.31121666666667),524-Greenmount - E North Ave,532
POINT (-76.61115833333332 39.32152222222223),505-Barclay St - Whitridge Ave,533
POINT (-76.557327 39.287016),401-Eastern Ave - S Macon St,401
POINT (-76.587869 39.298647),601-E Monument St - N Chester St,601
POINT (-76.58714979887009 39.29760709115317),602-McElderry St - N Duncan St,602
POINT (-76.586667 39.298691),603 Monumnet/Collington,603
POINT (-76.58599108457565 39.29969726179092),604-E Madison St - N Mederia St,604
POINT (-76.58499330282211 39.29866982722047),605-E Monument St - N Patterson Park Ave,605
POINT (-76.58429861068726 39.29762162085662),606-McElderry St - N Bradford St,606
POINT (-76.583721 39.298807),607-E Monument St - N Montford Ave,607
POINT (-76.583081 39.299893),608-E Madison -N Port,608
POINT (-76.582319 39.298861),609-E Monument St - N Milton Ave,609
POINT (-76.5814688802 39.2978105067),610 - McElderry St - N Rose St,610
POINT (-76.580905 39.298915),611-E Monument St - N Luzerne Ave,611
POINT (-76.580263 39.299997),612-E Madison St - N Glover St,612
POINT (-76.579493 39.298966),613-E Monument St - N Lakewood Ave,613
POINT (-76.57863110303879 39.29795061404889),614-McElderry St - N Belnord Ave,614
POINT (-76.578085 39.299029),615-E Monument St - N Kenwood Ave,615
POINT (-76.577437 39.300113),616-E Madison St - N Streeper St,616
POINT (-76.57646656036377 39.29790702513436),617-McElderry St - N Linwood Ave,617
POINT (-76.575962 39.299112),618-E Monument St - N Curley St,618
POINT (-76.575066447258 39.2980658131924),619-McElderry St - N Potomac St,619
POINT (-76.5744173527 39.2990932566),620 E Monument - Decker,620
POINT (-76.573908 39.300243),621-E Madison St - N Ellwood Ave,621
POINT (-76.573121 39.299225),622-E Monument St - N Robinson St,622
POINT (-76.57604 39.300151),623-E Madison St - N Curley St,623
POINT (-76.573086977005 39.29804090528554),624-McElderry St - N Robinson St,624
POINT (-76.658071 39.307524),701-Thomas Ave - Presbury St,701
POINT (-76.658115 39.308432),702- Thomas Ave - Westwood Ave,702
POINT (-76.65818 39.309431),703-W North Ave - Thomas Ave,703
POINT (-76.657154 39.308489),704-N Warwick Ave - Westwood Ave,704
POINT (-76.655912 39.308514),705-Moreland Ave - Westwood Ave,705
POINT (-76.655994 39.309508),706-W North Ave - Moreland Ave,706
POINT (-76.654071 39.308598),707-N Bentalou St - Westwood Ave,707
POINT (-76.652666 39.308666),708-N Smallwood St - Westwood Ave,708
POINT (-76.652712 39.309613),709-W North Ave - N Smallwood St,709
POINT (-76.652804 39.311245),710-N Smallwood St - Ridgehill Ave,710
POINT (-76.651259 39.308694),711-N Pulaski St - Westwood Ave,711
POINT (-76.651339 39.30968),712-W North Ave - N Pulaski St,712
POINT (-76.651376 39.310219),713-N Pulaski St - Herbert St,10713
POINT (-76.651397 39.310763),714-N Pulaski St - Walbrook Ave,714
POINT (-76.649921 39.30973),715-W North Ave - N Payson St,715
POINT (-76.649955 39.310392),716-N Payson St - Herbert St,716
POINT (-76.649988 39.310831),717-N Payson St - Walbrook Ave,717
POINT (-76.650011 39.31158),718-N Payson St - Ridgehill Ave,718
POINT (-76.648996 39.308785),719-Appleton St - Westwood Ave,719
POINT (-76.648124 39.308812),720-N Monroe St - Westwood Ave,720
POINT (-76.64818 39.309813),721-W North Ave - N Monroe St,721
POINT (-76.648237 39.310883),722-N Monroe St - Walbrook Ave,722
POINT (-76.646459 39.308853),723-N Fulton Ave - Westwood Ave,723
POINT (-76.646518 39.309889),724-W North Ave - N Fulton Ave,724
POINT (-76.64663314819336 39.31084758918878),725-N Fulton Ave - Walbrook Ave,725
POINT (-76.644946 39.308893),726-N Mount St - Westwood Ave,726
POINT (-76.64372 39.310024),727-W North Ave - N Carey St,727
POINT (-76.64239257574081 39.30989087879423),728-W North Ave - Pennsylvania Ave,728
POINT (-76.6434888889 39.308031),729-Cumberland St  &amp;  N Calhoun St,729
POINT (-76.64162546396255 39.30921121216148),730-Cumberland St - Pennsylvania Ave,730
POINT (-76.640912 39.310153),731-W North Ave - Division St,731
POINT (-76.64121 39.310515),732-Whitelock St - Woodbrook Ave,732
POINT (-76.640704 39.310861),733-Ettiing St - Whitelock St,10733
POINT (-76.640141 39.311185),734-Whitelock St - Francis St,734
POINT (-76.63929596543312 39.31156044406966),735-Druid Hill Ave - Whitelock St,735
POINT (-76.636986 39.310319),742-W North Ave - McCulloh St,742
POINT (-76.663122 39.33267),801-Reisterstown Rd - Keyworth Ave,801
POINT (-76.664031 39.333873),802-Reisterstown Rd - Shirley Ave,802
POINT (-76.66598930954933 39.33446547089893),803-Towonda Ave - Oswego Ave,803
POINT (-76.666884 39.337571),804-Reisterstown Rd - Grantley Ave,804
POINT (-76.669476 39.337273),805-Boarman Ave - Willowdale Ave,805
POINT (-76.67358264327049 39.34739927367743),806-Park Heights Ave - W Garrison Ave,806
POINT (-76.668406 39.339445),807-Reisterstown Rd - Laporte St,807
POINT (-76.67148515582085 39.34027301326582),808-Reisterstown Rd - St Ambrose Ave,808
POINT (-76.680281 39.346305),809-W Belvedere Ave - Litchfield Ave,809
POINT (-76.6714 39.345195),810-Park Heights Ave - Woodland,810
POINT (-76.674801 39.346728),811-W Garrison Ave - Denmore Ave,811
POINT (-76.672387 39.348089),812-W Garrison Ave - Palmer Ave,812
POINT (-76.666714 39.342397),813-Pimlico Rd - Sumter Ave,813
POINT (-76.66510552167892 39.34020040899882),814-Pimlico Rd - W Cold Spring Ln,814
POINT (-76.662933 39.337417),815 - Quantico Ave - Pimlico Rd,815
POINT (-76.66361957788467 39.3385398251061),816-Pimlico Rd - Loyola Northway,816
POINT (-76.663974 39.338999),817-Pimlico Rd - Rosewood Ave,817
POINT (-76.67768239974976 39.35287286005084),818-Winner Ave - Avondale Ave,818
POINT (-76.67887330055237 39.35000441410686),819-Park Heights Ave - Hayward Ave,819
POINT (-76.68332308530807 39.35185450263003),820-Park Heights-Rogers,820
POINT (-76.6852368414402 39.35301493113853),821-Park Heights Ave - Manhattan Ave,821
POINT (-76.68816715478897 39.35566237819138),822-Park Heights Ave - Glen Ave,822
POINT (-76.691223532 39.3574044743),823 Park Heights Ave - Taney,823
POINT (-76.69390171766281 39.35877634438256),824-Park Heights Ave - W Strathmore Ave,824
POINT (-76.69657185673714 39.36016166734574),825-Park Heights Ave - Fords Ln.,825
